epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,19867.6,0.71356,0.97119,0.59714,0.94183,0.66618,0.76856,0.72562,0.54204,0.66062,0.76283,0.71961,0.52277,0.79397,1.12092,0.71299,0.97503,0.000693042,0.000693042,0.000693042
78,20125.2,0.70663,0.97586,0.56261,0.93614,0.66409,0.73887,0.71257,0.53631,0.66341,0.7417,0.71409,0.5081,0.79397,1.20728,0.66326,0.97136,0.000687542,0.000687542,0.000687542
79,20383,0.69904,0.96585,0.58955,0.93717,0.66946,0.71045,0.70784,0.52767,0.68656,0.71564,0.71347,0.50148,0.79997,1.13818,0.66686,0.98263,0.000682043,0.000682043,0.000682043
80,20640,0.68819,0.95143,0.57274,0.92374,0.73729,0.6833,0.71357,0.53076,0.73631,0.68927,0.71753,0.51007,0.81111,1.16282,0.78858,0.98907,0.000676543,0.000676543,0.000676543
81,20897.8,0.6824,0.92763,0.57905,0.92977,0.6686,0.72408,0.72803,0.55516,0.67611,0.72685,0.72793,0.52878,0.79672,1.16617,0.65505,0.9817,0.000671044,0.000671044,0.000671044
82,21154.7,0.70167,0.94783,0.59148,0.93127,0.60739,0.71715,0.68143,0.5155,0.61045,0.7194,0.68753,0.48638,0.7866,1.15971,0.67039,0.97226,0.000665545,0.000665545,0.000665545
83,21411.8,0.68039,0.95767,0.58497,0.92835,0.72188,0.6732,0.7199,0.54478,0.72178,0.67369,0.71953,0.50519,0.79408,1.17124,0.65147,0.97736,0.000660045,0.000660045,0.000660045
84,21669.2,0.68825,0.93743,0.56401,0.92928,0.73377,0.71403,0.73264,0.5509,0.71719,0.72273,0.73275,0.5236,0.80241,1.14724,0.63394,0.97185,0.000654546,0.000654546,0.000654546
85,21926.9,0.68817,0.95455,0.56655,0.93388,0.71071,0.74684,0.74853,0.55913,0.68599,0.78071,0.74873,0.53625,0.79033,1.14244,0.63024,0.96367,0.000649046,0.000649046,0.000649046
86,22184.5,0.6844,0.92994,0.56972,0.91896,0.71253,0.72554,0.74138,0.55326,0.70724,0.72004,0.72872,0.53061,0.78222,1.12394,0.64109,0.96246,0.000643547,0.000643547,0.000643547
87,22442.3,0.68091,0.93385,0.55226,0.92087,0.60323,0.7701,0.71151,0.53565,0.60767,0.77987,0.71798,0.50825,0.80005,1.15505,0.64789,0.97679,0.000638047,0.000638047,0.000638047
88,22698.7,0.66531,0.91862,0.5263,0.91051,0.67262,0.76626,0.73646,0.56426,0.67311,0.76678,0.74022,0.52833,0.78696,1.11699,0.65066,0.98284,0.000632548,0.000632548,0.000632548
89,22955.5,0.68655,0.93671,0.56524,0.93445,0.66308,0.75249,0.71264,0.54287,0.66003,0.75699,0.7121,0.51378,0.75961,1.16055,0.64551,0.95564,0.000627048,0.000627048,0.000627048
90,23212.6,0.68624,0.94483,0.55932,0.92083,0.71634,0.76104,0.74709,0.55622,0.71073,0.77505,0.74725,0.53707,0.78127,1.12866,0.64727,0.97127,0.000621549,0.000621549,0.000621549
91,23469.2,0.66874,0.93575,0.55189,0.91268,0.69217,0.68565,0.72371,0.53406,0.6969,0.699,0.72206,0.50421,0.81139,1.18552,0.65777,0.98435,0.000616049,0.000616049,0.000616049
