epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,13612.2,0.76491,1.04647,0.71292,0.99495,0.65531,0.68266,0.70463,0.51937,0.71427,0.64627,0.70894,0.49676,0.82988,1.15085,0.71695,1.00079,0.000825029,0.000825029,0.000825029
54,13868.2,0.78001,1.07927,0.7311,1.00776,0.5945,0.74135,0.71587,0.52415,0.60751,0.71904,0.70763,0.49509,0.84826,1.17837,0.70379,1.01854,0.000819529,0.000819529,0.000819529
55,14124.5,0.736,1.00765,0.6647,0.97536,0.69745,0.68882,0.72073,0.52775,0.69866,0.68897,0.72415,0.51549,0.81373,1.17419,0.68195,0.99665,0.00081403,0.00081403,0.00081403
56,14380.3,0.75638,1.06196,0.68354,0.98647,0.65633,0.70167,0.70699,0.52049,0.6657,0.71328,0.71108,0.49781,0.8311,1.15713,0.69464,1.00281,0.00080853,0.00080853,0.00080853
57,14636.3,0.74995,1.03221,0.68502,0.98469,0.64641,0.73813,0.71495,0.53232,0.6377,0.73498,0.71322,0.50532,0.80641,1.10796,0.67707,0.9912,0.000803031,0.000803031,0.000803031
58,14892.7,0.73718,1.02988,0.68528,0.97569,0.66584,0.70047,0.68882,0.51029,0.66795,0.70658,0.6938,0.48321,0.82283,1.20017,0.72469,0.99972,0.000797531,0.000797531,0.000797531
59,15148.4,0.72833,1.02512,0.66921,0.96872,0.69584,0.7246,0.72059,0.54722,0.70052,0.73057,0.72546,0.5168,0.81519,1.15934,0.69581,1.00547,0.000792032,0.000792032,0.000792032
60,15405.4,0.72963,1.02036,0.66652,0.9661,0.60803,0.72424,0.69801,0.51931,0.62161,0.71836,0.6957,0.49514,0.82483,1.14721,0.70006,0.99562,0.000786532,0.000786532,0.000786532
61,15661.1,0.72914,1.00585,0.64747,0.97578,0.65152,0.72307,0.70902,0.5319,0.65845,0.74243,0.70954,0.50943,0.78911,1.14534,0.66157,0.99206,0.000781033,0.000781033,0.000781033
62,15916.7,0.72052,1.01826,0.62946,0.97135,0.59559,0.69965,0.67801,0.50827,0.59952,0.69076,0.6769,0.47804,0.80749,1.17067,0.69265,0.99627,0.000775534,0.000775534,0.000775534
63,16173,0.76216,1.06489,0.68584,0.99114,0.70322,0.6722,0.73148,0.53388,0.69553,0.67801,0.73414,0.50969,0.86007,1.1836,0.69476,1.01487,0.000770034,0.000770034,0.000770034
64,16429.1,0.73119,1.01653,0.66394,0.97209,0.65315,0.65751,0.69088,0.50376,0.65688,0.66072,0.69101,0.48128,0.86144,1.22615,0.734,1.02051,0.000764535,0.000764535,0.000764535
65,16685.4,0.73958,0.99567,0.6956,0.98388,0.66767,0.68698,0.70618,0.53537,0.6853,0.72821,0.72172,0.51193,0.81797,1.187,0.71382,1.00434,0.000759035,0.000759035,0.000759035
66,16941.3,0.70974,1.00787,0.6359,0.96357,0.66559,0.74309,0.72402,0.54307,0.67053,0.74571,0.72637,0.51981,0.82095,1.13783,0.68227,0.99704,0.000753536,0.000753536,0.000753536
67,17197.4,0.71473,0.99039,0.64317,0.95486,0.63114,0.64158,0.67639,0.50653,0.65608,0.65034,0.68498,0.48087,0.80948,1.16757,0.70273,0.99488,0.000748036,0.000748036,0.000748036
68,17453.9,0.71709,0.98194,0.66186,0.9719,0.56988,0.72632,0.68541,0.50674,0.56356,0.71985,0.68286,0.48492,0.84964,1.1329,0.741,1.02513,0.000742537,0.000742537,0.000742537
69,17710.1,0.72928,0.99107,0.6403,0.9642,0.59196,0.71325,0.68485,0.50847,0.59382,0.71609,0.68752,0.47845,0.84546,1.17059,0.71789,1.02039,0.000737037,0.000737037,0.000737037
70,17966.4,0.71034,0.98013,0.63819,0.94902,0.70654,0.6523,0.69963,0.53265,0.71003,0.65557,0.70554,0.51327,0.80745,1.12312,0.67794,0.99114,0.000731538,0.000731538,0.000731538
71,18222.1,0.71702,0.98726,0.64149,0.97487,0.68398,0.70022,0.7003,0.53022,0.70149,0.71516,0.71004,0.51112,0.80716,1.13959,0.67731,0.99003,0.000726038,0.000726038,0.000726038
72,18479,0.70639,0.98804,0.63845,0.9607,0.66763,0.72625,0.70571,0.53559,0.67457,0.73068,0.70474,0.50466,0.79115,1.14688,0.71619,0.99555,0.000720539,0.000720539,0.000720539
73,18735.2,0.70284,0.94797,0.62522,0.95428,0.60348,0.69446,0.6676,0.49009,0.60615,0.69746,0.67682,0.46681,0.84871,1.16355,0.70474,1.03288,0.00071504,0.00071504,0.00071504
74,18991.1,0.701,0.9663,0.63732,0.95269,0.64635,0.73765,0.70532,0.53113,0.6519,0.74248,0.70911,0.49889,0.81782,1.17948,0.68522,1.00221,0.00070954,0.00070954,0.00070954
75,19247.3,0.70011,0.97008,0.60717,0.94652,0.68572,0.6753,0.70896,0.53395,0.69226,0.68128,0.70818,0.51246,0.81159,1.19502,0.69202,0.99824,0.000704041,0.000704041,0.000704041
