epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,5693.99,0.65052,0.89099,0.52099,0.94004,0.69246,0.6351,0.66563,0.4854,0.64964,0.69964,0.66841,0.45201,0.82008,1.23492,0.7697,1.08905,0.000797531,0.000797531,0.000797531
59,5791.92,0.67173,0.90284,0.52683,0.94434,0.57378,0.68665,0.65789,0.48196,0.57982,0.69887,0.65583,0.43792,0.80038,1.2024,0.7824,1.08239,0.000792032,0.000792032,0.000792032
60,5889.49,0.68521,0.91648,0.53296,0.95617,0.69829,0.72165,0.71971,0.52722,0.73509,0.71797,0.73516,0.49671,0.77971,1.09485,0.69564,1.0731,0.000786532,0.000786532,0.000786532
61,5987.83,0.65766,0.90089,0.5148,0.9456,0.67683,0.69372,0.68716,0.50823,0.72005,0.68928,0.70386,0.47227,0.79593,1.16526,0.70267,1.08808,0.000781033,0.000781033,0.000781033
62,6085.39,0.67156,0.87177,0.51078,0.95303,0.70408,0.66116,0.69878,0.52461,0.7025,0.66497,0.70329,0.47806,0.79646,1.15828,0.70748,1.0913,0.000775534,0.000775534,0.000775534
63,6183.13,0.66178,0.88578,0.50366,0.93917,0.66597,0.70886,0.69107,0.50971,0.6559,0.70727,0.68744,0.45995,0.78414,1.15659,0.73473,1.07496,0.000770034,0.000770034,0.000770034
64,6280.78,0.6542,0.88799,0.50767,0.94472,0.69425,0.67352,0.69193,0.5118,0.70082,0.67005,0.69156,0.46638,0.77624,1.1314,0.74962,1.06903,0.000764535,0.000764535,0.000764535
65,6378.32,0.66044,0.86551,0.47995,0.94466,0.65747,0.74929,0.71092,0.52487,0.6466,0.74086,0.69424,0.46642,0.77891,1.15482,0.68923,1.07116,0.000759035,0.000759035,0.000759035
66,6476.09,0.64011,0.8449,0.48463,0.93122,0.68844,0.68849,0.71532,0.52518,0.686,0.69159,0.70683,0.4801,0.79241,1.17987,0.71071,1.08855,0.000753536,0.000753536,0.000753536
67,6573.69,0.65097,0.84995,0.48265,0.93929,0.67135,0.70726,0.70126,0.52132,0.66898,0.71374,0.69618,0.47152,0.78824,1.14711,0.72493,1.07679,0.000748036,0.000748036,0.000748036
68,6671.45,0.64822,0.85746,0.50487,0.93394,0.70752,0.68991,0.71703,0.53097,0.69992,0.70391,0.70953,0.48837,0.79534,1.21416,0.67963,1.08428,0.000742537,0.000742537,0.000742537
69,6768.95,0.64096,0.85802,0.48975,0.93357,0.68557,0.73607,0.72782,0.54184,0.68097,0.73967,0.72125,0.49286,0.78324,1.14117,0.71933,1.07659,0.000737037,0.000737037,0.000737037
70,6867.36,0.6447,0.86297,0.47142,0.93631,0.67692,0.71865,0.71805,0.54004,0.69522,0.69399,0.71304,0.49493,0.76267,1.15901,0.73631,1.06614,0.000731538,0.000731538,0.000731538
71,6965.12,0.63642,0.82361,0.46552,0.933,0.67827,0.73292,0.73722,0.55378,0.6754,0.73262,0.73477,0.50156,0.7528,1.15866,0.69106,1.05466,0.000726038,0.000726038,0.000726038
72,7063.46,0.63187,0.82982,0.4793,0.93537,0.70067,0.70866,0.71425,0.53105,0.72366,0.68878,0.71922,0.49128,0.79404,1.1603,0.71037,1.07351,0.000720539,0.000720539,0.000720539
73,7161.11,0.63736,0.82885,0.45488,0.92287,0.64846,0.66667,0.69376,0.51079,0.61389,0.71611,0.68564,0.46556,0.7813,1.16637,0.72409,1.07693,0.00071504,0.00071504,0.00071504
74,7258.94,0.64406,0.84453,0.47642,0.93512,0.67293,0.71951,0.71482,0.52402,0.67624,0.72156,0.71186,0.48835,0.80261,1.18623,0.69975,1.09042,0.00070954,0.00070954,0.00070954
75,7356.47,0.63308,0.83702,0.45892,0.92619,0.691,0.70408,0.72311,0.54139,0.69141,0.70915,0.72865,0.49246,0.77706,1.16359,0.70342,1.0664,0.000704041,0.000704041,0.000704041
76,7454.19,0.6289,0.83527,0.47666,0.92781,0.6984,0.69851,0.71758,0.53322,0.69578,0.70173,0.712,0.48794,0.77486,1.17496,0.69782,1.06063,0.000698541,0.000698541,0.000698541
77,7551.77,0.6308,0.85241,0.45854,0.93377,0.71749,0.72092,0.74889,0.55889,0.71945,0.72636,0.747,0.52024,0.76883,1.11445,0.68242,1.05422,0.000693042,0.000693042,0.000693042
78,7650.17,0.6286,0.84465,0.45899,0.92371,0.6796,0.698,0.70382,0.52213,0.6986,0.67506,0.69728,0.47812,0.76277,1.1447,0.71653,1.05945,0.000687542,0.000687542,0.000687542
79,7748.01,0.62523,0.82709,0.44399,0.9211,0.73762,0.72023,0.72938,0.54626,0.75634,0.72887,0.74917,0.5149,0.78085,1.13557,0.72058,1.07435,0.000682043,0.000682043,0.000682043
80,7845.51,0.62129,0.81573,0.45631,0.92538,0.72792,0.66214,0.72162,0.53584,0.74213,0.66383,0.72482,0.50642,0.77644,1.15222,0.71288,1.0678,0.000676543,0.000676543,0.000676543
81,7943.27,0.60924,0.82327,0.44059,0.91632,0.73471,0.68913,0.71502,0.52858,0.72285,0.68918,0.70853,0.49594,0.78179,1.13894,0.73306,1.07501,0.000671044,0.000671044,0.000671044
82,8040.85,0.61225,0.83837,0.44375,0.91855,0.71083,0.68541,0.70412,0.52444,0.71196,0.68745,0.70566,0.48593,0.76301,1.15096,0.67985,1.05366,0.000665545,0.000665545,0.000665545
83,8138.47,0.60594,0.82359,0.43046,0.91568,0.66463,0.74152,0.74104,0.54915,0.6627,0.74428,0.72885,0.50509,0.77783,1.21539,0.68248,1.07498,0.000660045,0.000660045,0.000660045
84,8236.31,0.60334,0.81296,0.43611,0.92869,0.71076,0.65409,0.72047,0.52944,0.67704,0.69144,0.72018,0.49764,0.77782,1.13141,0.69265,1.07976,0.000654546,0.000654546,0.000654546
85,8333.84,0.60065,0.79033,0.42946,0.91202,0.70802,0.67299,0.69456,0.52021,0.7112,0.6805,0.69373,0.47811,0.7645,1.14521,0.71684,1.0775,0.000649046,0.000649046,0.000649046
86,8431.54,0.61487,0.80263,0.44385,0.9202,0.70268,0.67331,0.69666,0.51604,0.70596,0.67908,0.69968,0.47705,0.7908,1.19991,0.72215,1.0877,0.000643547,0.000643547,0.000643547
87,8528.92,0.59743,0.79994,0.42568,0.9117,0.69615,0.70989,0.71723,0.53354,0.70121,0.71358,0.71649,0.49516,0.76316,1.13864,0.70356,1.0591,0.000638047,0.000638047,0.000638047
88,8626.33,0.58981,0.78856,0.40611,0.91049,0.73443,0.66726,0.72072,0.54692,0.71948,0.67661,0.71801,0.49011,0.74401,1.18338,0.67945,1.04908,0.000632548,0.000632548,0.000632548
89,8724.07,0.59509,0.79226,0.40674,0.90742,0.76699,0.64618,0.72277,0.53906,0.75897,0.64143,0.70743,0.49556,0.78127,1.21361,0.69396,1.08051,0.000627048,0.000627048,0.000627048
90,8821.68,0.60779,0.80066,0.44106,0.91837,0.74854,0.65486,0.69881,0.52618,0.6905,0.73071,0.69073,0.47411,0.75438,1.14343,0.69316,1.05903,0.000621549,0.000621549,0.000621549
91,8919.52,0.59596,0.79186,0.4236,0.91126,0.71636,0.66806,0.70597,0.52444,0.66025,0.71221,0.6872,0.47153,0.76898,1.21408,0.71234,1.07366,0.000616049,0.000616049,0.000616049
92,9016.99,0.60149,0.78762,0.42129,0.91177,0.73018,0.70867,0.74859,0.55937,0.72048,0.70048,0.73772,0.51157,0.75326,1.14314,0.68068,1.05707,0.00061055,0.00061055,0.00061055
93,9114.25,0.57877,0.75515,0.39969,0.90053,0.71189,0.68697,0.7289,0.54898,0.67882,0.72491,0.72486,0.49881,0.74929,1.15658,0.67027,1.06381,0.000605051,0.000605051,0.000605051
94,9212.02,0.58601,0.77524,0.40182,0.89912,0.70284,0.73964,0.73517,0.55686,0.72731,0.71933,0.73257,0.51749,0.76215,1.13672,0.70112,1.06665,0.000599551,0.000599551,0.000599551
95,9309.48,0.58399,0.77781,0.39698,0.9099,0.75532,0.65605,0.71017,0.53131,0.70176,0.71437,0.71568,0.49132,0.77292,1.18136,0.76434,1.07189,0.000594052,0.000594052,0.000594052
96,9406.96,0.58041,0.77513,0.40569,0.90258,0.65873,0.69611,0.7005,0.52763,0.66321,0.70663,0.70244,0.48864,0.76525,1.1511,0.65746,1.05915,0.000588552,0.000588552,0.000588552
97,9504.69,0.58104,0.75554,0.40048,0.90965,0.69323,0.72316,0.71984,0.54494,0.70133,0.71901,0.71799,0.49764,0.7564,1.14005,0.69952,1.06273,0.000583053,0.000583053,0.000583053
98,9602.3,0.57344,0.77099,0.39708,0.90106,0.70526,0.72587,0.73932,0.54967,0.75268,0.67249,0.73323,0.50755,0.7696,1.20322,0.69312,1.06892,0.000577553,0.000577553,0.000577553
99,9700.02,0.57791,0.76638,0.39577,0.8985,0.69704,0.7256,0.7468,0.56775,0.69933,0.72866,0.74923,0.51888,0.75303,1.20355,0.67716,1.054,0.000572054,0.000572054,0.000572054
100,9798.25,0.57515,0.75699,0.39952,0.90795,0.71904,0.71426,0.7509,0.56772,0.71933,0.7215,0.75653,0.5158,0.75384,1.12573,0.68892,1.06459,0.000566554,0.000566554,0.000566554
101,9895.74,0.57055,0.77458,0.38642,0.89433,0.68716,0.73991,0.74769,0.56596,0.68627,0.7414,0.74769,0.51802,0.7563,1.14021,0.69695,1.06491,0.000561055,0.000561055,0.000561055
102,9993.26,0.55714,0.73408,0.38806,0.89733,0.73944,0.66344,0.71535,0.53847,0.75742,0.66411,0.72472,0.49633,0.76194,1.15418,0.70899,1.06315,0.000555556,0.000555556,0.000555556
103,10090.7,0.57276,0.75046,0.39724,0.89882,0.71449,0.70753,0.71594,0.53892,0.71208,0.71277,0.71369,0.49202,0.74614,1.15747,0.69488,1.0516,0.000550056,0.000550056,0.000550056
104,10188.4,0.56278,0.73334,0.37981,0.90199,0.68887,0.71555,0.70611,0.52689,0.67566,0.70716,0.68782,0.47759,0.78975,1.24832,0.71957,1.10657,0.000544557,0.000544557,0.000544557
105,10285.8,0.54753,0.7343,0.37005,0.88382,0.70444,0.6972,0.70719,0.5364,0.70852,0.71024,0.71198,0.48509,0.76354,1.18242,0.68772,1.07927,0.000539057,0.000539057,0.000539057
106,10383.3,0.55061,0.7216,0.37135,0.88857,0.70775,0.68119,0.71763,0.53544,0.6955,0.67207,0.7026,0.49782,0.77673,1.19353,0.7085,1.10226,0.000533558,0.000533558,0.000533558
107,10481,0.55391,0.72702,0.37117,0.88602,0.69673,0.69982,0.71008,0.53448,0.68628,0.70323,0.7034,0.48213,0.75291,1.21982,0.69309,1.07831,0.000528058,0.000528058,0.000528058
108,10578.6,0.55324,0.73861,0.37903,0.88615,0.70145,0.6926,0.73201,0.55089,0.69908,0.69759,0.73131,0.50423,0.76388,1.13979,0.71126,1.07225,0.000522559,0.000522559,0.000522559
109,10676.2,0.55077,0.73096,0.37933,0.8871,0.74174,0.68269,0.74142,0.55284,0.70644,0.71745,0.73886,0.50762,0.77163,1.17899,0.70252,1.08801,0.000517059,0.000517059,0.000517059
110,10773.7,0.53893,0.71246,0.36397,0.88639,0.72635,0.6673,0.7148,0.53285,0.72336,0.68074,0.71191,0.49769,0.76452,1.21638,0.6946,1.07835,0.00051156,0.00051156,0.00051156
111,10871.2,0.53171,0.70286,0.36501,0.87732,0.69315,0.69954,0.71858,0.53862,0.69512,0.7089,0.72232,0.49918,0.75676,1.18935,0.69748,1.06995,0.00050606,0.00050606,0.00050606
112,10968.8,0.53551,0.70908,0.36282,0.88639,0.68663,0.74205,0.71812,0.54577,0.68019,0.73842,0.71094,0.49448,0.75366,1.14451,0.68097,1.07903,0.000500561,0.000500561,0.000500561
