epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,9675.26,0.65199,0.86783,0.49472,0.91256,0.61368,0.65325,0.66332,0.49457,0.60315,0.6423,0.64462,0.4374,0.7232,1.01443,0.64952,0.98771,0.000742537,0.000742537,0.000742537
69,9816.91,0.63518,0.85982,0.49469,0.90641,0.63958,0.66025,0.66593,0.50248,0.6041,0.69302,0.64766,0.4423,0.72331,1.0774,0.60676,0.99522,0.000737037,0.000737037,0.000737037
70,9958.94,0.63474,0.84499,0.47538,0.90466,0.58175,0.66982,0.64842,0.49,0.57337,0.6605,0.63122,0.43045,0.71778,1.07296,0.66333,0.99447,0.000731538,0.000731538,0.000731538
71,10100.6,0.631,0.83048,0.46793,0.90391,0.68047,0.6833,0.69066,0.53233,0.67881,0.67971,0.68223,0.47122,0.69225,1.0208,0.60956,0.97553,0.000726038,0.000726038,0.000726038
72,10242.5,0.62144,0.82609,0.46828,0.89743,0.7063,0.61699,0.69158,0.52984,0.70309,0.61132,0.67935,0.47354,0.69613,1.0424,0.62508,0.97945,0.000720539,0.000720539,0.000720539
73,10384.4,0.63873,0.83605,0.48727,0.90784,0.63653,0.65351,0.65584,0.49999,0.62839,0.64707,0.6505,0.45236,0.71535,1.04109,0.63806,0.99905,0.00071504,0.00071504,0.00071504
74,10526.4,0.64144,0.85603,0.48063,0.91109,0.664,0.61863,0.66998,0.50893,0.65153,0.60863,0.65312,0.45277,0.71811,1.06438,0.6492,0.98884,0.00070954,0.00070954,0.00070954
75,10668.2,0.61958,0.81407,0.45713,0.89649,0.5937,0.75427,0.66835,0.51112,0.59627,0.73774,0.66102,0.45592,0.70914,1.06561,0.6554,0.98962,0.000704041,0.000704041,0.000704041
76,10810.1,0.60601,0.80436,0.44671,0.89818,0.63925,0.63605,0.68272,0.52204,0.58517,0.69447,0.66877,0.4626,0.70545,1.05371,0.61272,0.98156,0.000698541,0.000698541,0.000698541
77,10952.1,0.61384,0.80547,0.45557,0.89806,0.59928,0.68381,0.66659,0.51885,0.61143,0.70742,0.66275,0.46159,0.68598,1.07146,0.6217,0.96812,0.000693042,0.000693042,0.000693042
78,11094.1,0.61958,0.80184,0.45564,0.89865,0.60826,0.71874,0.66305,0.51406,0.60041,0.71154,0.65221,0.45225,0.69984,1.03307,0.6463,0.98871,0.000687542,0.000687542,0.000687542
79,11236.1,0.61452,0.80214,0.45705,0.89253,0.69227,0.70819,0.69746,0.54014,0.68842,0.70451,0.68308,0.47726,0.71324,1.08417,0.60198,0.99362,0.000682043,0.000682043,0.000682043
80,11378.2,0.62048,0.81464,0.4559,0.89797,0.62212,0.79669,0.70496,0.54384,0.61939,0.79421,0.70046,0.48653,0.70883,1.01753,0.61862,0.99663,0.000676543,0.000676543,0.000676543
81,11520.7,0.61197,0.78923,0.4376,0.89312,0.6554,0.70189,0.69298,0.53075,0.63923,0.69821,0.67917,0.46245,0.72112,1.03424,0.63421,0.99967,0.000671044,0.000671044,0.000671044
82,11662.5,0.60597,0.79376,0.45585,0.89374,0.68104,0.66092,0.68254,0.53081,0.67372,0.65521,0.67288,0.46709,0.69561,1.02965,0.65379,0.96784,0.000665545,0.000665545,0.000665545
83,11804.3,0.60332,0.8019,0.44267,0.89711,0.66301,0.68721,0.69761,0.53719,0.65529,0.68055,0.68817,0.46523,0.72007,1.06545,0.65938,1.00016,0.000660045,0.000660045,0.000660045
84,11946.2,0.62258,0.81809,0.4481,0.89688,0.62496,0.66155,0.67089,0.52074,0.61628,0.65297,0.66243,0.45905,0.70117,1.03116,0.65537,0.97961,0.000654546,0.000654546,0.000654546
85,12088,0.6075,0.79978,0.45186,0.8942,0.66223,0.68292,0.71834,0.56405,0.70702,0.62837,0.70363,0.48842,0.69078,1.06075,0.61089,0.98359,0.000649046,0.000649046,0.000649046
86,12230.6,0.60123,0.81093,0.44047,0.88292,0.64844,0.65139,0.66805,0.51999,0.64323,0.64477,0.65701,0.4576,0.70597,1.0517,0.63228,0.99228,0.000643547,0.000643547,0.000643547
87,12372.4,0.59721,0.78484,0.44732,0.88652,0.63131,0.63437,0.65974,0.51347,0.63033,0.62751,0.64772,0.45626,0.70074,1.06584,0.62773,0.98479,0.000638047,0.000638047,0.000638047
88,12514,0.59379,0.78491,0.42936,0.88865,0.63443,0.69509,0.68021,0.51906,0.62881,0.68527,0.66563,0.45415,0.69596,1.01368,0.63889,0.98341,0.000632548,0.000632548,0.000632548
89,12655.8,0.59354,0.78506,0.42673,0.88494,0.64778,0.68717,0.6774,0.51326,0.60871,0.6637,0.65301,0.45523,0.70455,1.03739,0.63514,0.97984,0.000627048,0.000627048,0.000627048
90,12797.5,0.59522,0.79732,0.42674,0.88589,0.65544,0.70961,0.68373,0.53256,0.64675,0.7006,0.6699,0.4644,0.68604,1.01912,0.62375,0.97927,0.000621549,0.000621549,0.000621549
91,12939.5,0.58651,0.77501,0.42186,0.88554,0.67422,0.62952,0.67047,0.52031,0.66591,0.67532,0.66736,0.46158,0.68697,1.0548,0.60993,0.97874,0.000616049,0.000616049,0.000616049
92,13082.5,0.59406,0.77518,0.41393,0.88168,0.70066,0.62033,0.6788,0.52471,0.69452,0.61608,0.67171,0.47284,0.70598,1.06261,0.60396,0.99739,0.00061055,0.00061055,0.00061055
93,13224.4,0.59531,0.78421,0.41721,0.8847,0.60756,0.68893,0.67377,0.52293,0.60016,0.67223,0.6571,0.45713,0.6905,1.05889,0.5983,0.9862,0.000605051,0.000605051,0.000605051
94,13366.1,0.59225,0.75134,0.40338,0.88587,0.64086,0.68004,0.67744,0.52587,0.63208,0.67074,0.66543,0.46939,0.69088,1.05944,0.61715,0.97946,0.000599551,0.000599551,0.000599551
95,13508.1,0.57849,0.7663,0.39826,0.87939,0.64327,0.72424,0.68452,0.53028,0.63596,0.71518,0.66914,0.47315,0.69221,1.05312,0.6056,0.96986,0.000594052,0.000594052,0.000594052
96,13649.7,0.56103,0.74529,0.39362,0.8791,0.64503,0.7159,0.67584,0.51799,0.64393,0.70219,0.65917,0.45125,0.70666,1.12904,0.65353,0.98694,0.000588552,0.000588552,0.000588552
97,13790,0.57954,0.76443,0.39651,0.88077,0.64163,0.71505,0.67769,0.52245,0.61712,0.74717,0.66137,0.45515,0.68673,1.02785,0.63644,0.97423,0.000583053,0.000583053,0.000583053
98,13931.8,0.59709,0.78419,0.41229,0.88523,0.66046,0.67239,0.6767,0.51979,0.64773,0.66102,0.65738,0.45797,0.6936,1.0489,0.61657,0.98274,0.000577553,0.000577553,0.000577553
99,14073.6,0.57124,0.75824,0.4005,0.8753,0.6523,0.72043,0.71352,0.55404,0.63942,0.70673,0.69485,0.48241,0.70058,1.04971,0.60262,0.98035,0.000572054,0.000572054,0.000572054
100,14215.2,0.57066,0.75518,0.39726,0.87561,0.65967,0.72081,0.69113,0.53304,0.65184,0.71361,0.67433,0.46779,0.69425,1.04495,0.61727,0.97637,0.000566554,0.000566554,0.000566554
101,14357,0.57871,0.76736,0.39523,0.87863,0.62679,0.65106,0.66885,0.5217,0.66166,0.60628,0.64838,0.44919,0.69854,1.08571,0.63423,0.98789,0.000561055,0.000561055,0.000561055
102,14498.8,0.57876,0.7585,0.41417,0.87936,0.62634,0.68906,0.67519,0.51926,0.61852,0.68272,0.66327,0.45698,0.71085,1.06183,0.67692,0.98783,0.000555556,0.000555556,0.000555556
103,14640.8,0.58217,0.75674,0.40426,0.87225,0.66893,0.6858,0.69139,0.53807,0.66023,0.67286,0.67679,0.4787,0.7068,1.0573,0.62513,0.99218,0.000550056,0.000550056,0.000550056
104,14782.5,0.55275,0.72914,0.38526,0.87057,0.6558,0.70653,0.68241,0.51958,0.68891,0.62823,0.6616,0.45957,0.70027,1.05144,0.58561,0.98377,0.000544557,0.000544557,0.000544557
105,14924.4,0.56519,0.73166,0.38778,0.87194,0.64167,0.7227,0.67053,0.51509,0.63571,0.71699,0.65986,0.4551,0.68978,1.07754,0.61707,0.9783,0.000539057,0.000539057,0.000539057
106,15066.5,0.56484,0.74679,0.38783,0.87416,0.70221,0.6735,0.69626,0.54273,0.69813,0.66781,0.67979,0.47984,0.69168,1.03188,0.58751,0.96922,0.000533558,0.000533558,0.000533558
